Fecha ,28 dias,1 an,3 an,5 an,10 an
23/10/2014,2.93,NA,4.64,NA,NA
30/10/2014,2.90,NA,NA,NA,NA
06/11/2014,2.91,NA,NA,NA,NA
13/11/2014,2.90,3.17,NA,NA,5.98
20/11/2014,2.83,NA,4.54,NA,NA
27/11/2014,2.76,NA,NA,NA,NA
04/12/2014,2.84,NA,NA,4.98,NA
11/12/2014,2.85,3.22,NA,NA,NA
18/12/2014,2.84,NA,4.92,NA,NA
24/12/2014,2.78,NA,NA,NA,5.90
31/12/2014,2.74,NA,NA,5.26,NA
08/01/2015,2.43,3.23,NA,NA,NA
15/01/2015,2.79,NA,4.69,NA,NA
22/01/2015,2.72,NA,NA,NA,NA
29/01/2015,2.75,NA,NA,4.58,NA
05/02/2015,2.74,3.21,NA,NA,5.31
12/02/2015,2.78,NA,4.93,NA,NA
19/02/2015,2.83,NA,NA,NA,NA
26/02/2015,2.90,NA,NA,5.05,NA
05/03/2015,3.01,3.53,NA,NA,NA
12/03/2015,3.05,NA,5.26,NA,NA
19/03/2015,3.04,NA,NA,NA,6.04
26/03/2015,3.05,NA,NA,5.15,NA
01/04/2015,3.02,3.62,NA,NA,NA
09/04/2015,3.02,NA,4.88,NA,NA
16/04/2015,3.00,NA,NA,NA,NA
23/04/2015,2.96,NA,NA,5.18,NA
30/04/2015,2.85,3.37,NA,NA,5.83
07/05/2015,2.98,NA,5.07,NA,NA
14/05/2015,2.97,NA,NA,NA,NA
21/05/2015,2.99,NA,NA,5.26,NA
28/05/2015,2.99,3.50,NA,NA,NA
04/06/2015,2.97,NA,5.01,NA,NA
11/06/2015,2.96,NA,NA,NA,6.25
18/06/2015,2.94,NA,NA,5.33,NA
25/06/2015,2.98,3.54,NA,NA,NA
02/07/2015,3.00,NA,4.83,NA,NA
09/07/2015,2.96,NA,NA,NA,NA
16/07/2015,2.96,NA,NA,5.46,NA
23/07/2015,3.01,3.62,NA,NA,6.07
30/07/2015,3.01,NA,4.94,NA,NA
06/08/2015,3.02,NA,NA,NA,NA
13/08/2015,3.01,NA,NA,5.59,NA
20/08/2015,3.02,3.70,NA,NA,NA
27/08/2015,3.12,NA,5.01,NA,NA
03/09/2015,3.09,NA,NA,NA,6.07
10/09/2015,3.11,NA,NA,5.67,NA
17/09/2015,3.18,3.71,NA,NA,NA
24/09/2015,3.02,NA,4.80,NA,NA
01/10/2015,3.02,NA,NA,NA,NA
08/10/2015,2.98,NA,NA,5.37,NA
15/10/2015,3.00,3.53,NA,NA,NA
22/10/2015,3.04,NA,4.60,NA,NA
29/10/2015,3.05,NA,NA,NA,NA
05/11/2015,3.03,NA,NA,5.46,NA
12/11/2015,3.00,3.69,NA,NA,NA
19/11/2015,3.00,NA,4.83,NA,NA
26/11/2015,3.03,NA,NA,NA,6.18
03/12/2015,3.11,NA,NA,5.51,NA
10/12/2015,3.20,3.68,NA,NA,NA
17/12/2015,3.20,NA,4.80,NA,NA
24/12/2015,3.15,NA,NA,NA,NA
31/12/2015,3.05,NA,NA,5.76,NA
07/01/2016,3.05,3.58,NA,NA,6.23
14/01/2016,3.05,NA,5.11,NA,NA
21/01/2016,3.09,NA,NA,NA,NA
28/01/2016,3.14,NA,NA,5.53,NA
04/02/2016,3.16,3.53,NA,NA,NA
11/02/2016,3.20,NA,5.05,NA,NA
18/02/2016,3.23,NA,NA,NA,6.07
25/02/2016,3.85,NA,NA,5.68,NA
03/03/2016,3.88,4.11,NA,NA,NA
10/03/2016,3.78,NA,5.25,NA,NA
17/03/2016,3.80,NA,NA,NA,NA
23/03/2016,3.78,NA,NA,5.42,NA
31/03/2016,3.76,4.11,NA,NA,6.03
07/04/2016,3.73,NA,5.06,NA,NA
14/04/2016,3.74,NA,NA,NA,NA
21/04/2016,3.74,NA,NA,5.28,NA
28/04/2016,3.76,4.03,NA,NA,NA
05/05/2016,3.77,NA,5.00,NA,NA
12/05/2016,3.77,NA,NA,NA,5.91
19/05/2016,3.81,NA,NA,5.50,NA
26/05/2016,3.90,4.47,NA,NA,NA
02/06/2016,3.80,NA,5.27,NA,NA
09/06/2016,3.78,NA,NA,NA,NA
16/06/2016,3.83,NA,NA,5.64,NA
23/06/2016,3.76,4.46,NA,NA,6.08
30/06/2016,3.86,NA,5.26,NA,NA
07/07/2016,4.23,NA,NA,NA,NA
14/07/2016,4.19,NA,NA,5.59,NA
21/07/2016,4.21,4.79,NA,NA,NA
28/07/2016,4.21,NA,5.41,NA,NA
04/08/2016,4.22,NA,NA,NA,6.01
11/08/2016,4.22,NA,NA,5.60,NA
18/08/2016,4.27,4.75,NA,NA,NA
25/08/2016,4.23,NA,5.34,NA,NA
01/09/2016,4.29,NA,NA,NA,NA
08/09/2016,4.23,NA,NA,5.52,NA
15/09/2016,4.22,4.87,NA,NA,5.99
22/09/2016,4.27,NA,5.63,NA,NA
29/09/2016,4.41,NA,NA,NA,NA
06/10/2016,4.70,NA,NA,5.82,NA
13/10/2016,4.70,5.22,NA,NA,NA
20/10/2016,4.67,NA,5.50,NA,NA
27/10/2016,4.68,NA,NA,NA,6.09
03/11/2016,4.75,NA,NA,5.98,NA
10/11/2016,4.81,5.31,NA,NA,NA
17/11/2016,5.56,NA,6.57,NA,NA
